Beckley, West Virginia	wn31-09178463-n
Nelson Mandela	wn31-11173190-n
Kelantan	wn31-08986475-n
Alexander Fleming	wn31-10992817-n
Henry Clay	wn31-10919703-n
Henry II of France	wn31-11061232-n
Roger Sherman	wn31-11317746-n
Alaska Peninsula	wn31-09215000-n
São José dos Campos	wn31-08876252-n
Barcelona	wn31-09047559-n
Pindar	wn31-11255500-n
Sápmi	wn31-08976985-n
Czechoslovakia	wn31-08775402-n
Carl Wilhelm Scheele	wn31-11303833-n
Blackpool	wn31-08898594-n
Arthur Koestler	wn31-11128574-n
Ares	wn31-09578365-n
Salyut programme	wn31-04139437-n
Lascar (volcano)	wn31-09199239-n
Cnut the Great	wn31-10901134-n
Rudolf Nureyev	wn31-11230600-n
Bangor, Maine	wn31-09115526-n
Ushas	wn31-09552576-n
Pier Luigi Nervi	wn31-11223910-n
Hypnos	wn31-09519804-n
Paul Hermann Müller	wn31-11216036-n
Bemidji, Minnesota	wn31-09125023-n
James Watt	wn31-11396737-n
Tonga	wn31-09059608-n
Andalusia	wn31-08510271-n
Janus	wn31-09586748-n
Adjara	wn31-09041962-n
Crocodile River (Limpopo)	wn31-09362418-n
Whitehall	wn31-08614386-n
Indian Ocean	wn31-09334165-n
Karakum Desert	wn31-09193372-n
English Channel	wn31-09296353-n
G. Stanley Hall	wn31-11044904-n
Osiris	wn31-09536048-n
Barbados	wn31-08773269-n
Philip VI of France	wn31-11253373-n
Essex	wn31-08902288-n
Edward Winslow	wn31-11412908-n
Georges Simenon	wn31-11320673-n
Lower Saxony	wn31-08787162-n
Orono, Maine	wn31-09115893-n
Anubis	wn31-09534847-n
Lysander	wn31-11165840-n
Namib Desert	wn31-09194101-n
Princeton University	wn31-04009811-n
Scotland	wn31-08910324-n
Johann Strauss I	wn31-11341291-n
Nuremberg	wn31-08792207-n
Osage Nation	wn31-09683491-n
Stone Age	wn31-15256760-n
Victor Hugo	wn31-11085340-n
Portsmouth, New Hampshire	wn31-09134769-n
Mors (mythology)	wn31-09578782-n
Claudio Monteverdi	wn31-11207354-n
Kingdom of Northumbria	wn31-08906374-n
North Asia	wn31-09029983-n
Ptolemy II Philadelphus	wn31-11267887-n
Mary McLeod Bethune	wn31-10870065-n
Gilbert and Ellice Islands	wn31-08860067-n
River Clyde	wn31-09270848-n
Wheeler Peak (New Mexico)	wn31-09501177-n
Charles Kay Ogden	wn31-11232776-n
George Stevens	wn31-11337304-n
Tupelo, Mississippi	wn31-09128006-n
Northern Ireland	wn31-08908068-n
Frederick Handley Page	wn31-11240139-n
George C. Scott	wn31-11309699-n
Basil of Caesarea	wn31-10857514-n
Belo Horizonte	wn31-08874118-n
Sydney	wn31-08852287-n
Georges Bizet	wn31-10871461-n
Gustave Eiffel	wn31-10974031-n
Gates of the Arctic National Park and Preserve	wn31-08622277-n
Brigid	wn31-09531606-n
South Carolina	wn31-09160954-n
Byblos	wn31-08978308-n
Jonas Salk	wn31-11299099-n
Joe Louis	wn31-11161699-n
Spanish Civil War, 1936	wn31-01311328-n
Benedict Arnold	wn31-10843133-n
Sam Houston	wn31-11081848-n
Niels Bohr	wn31-10874796-n
Anne Bradstreet	wn31-10880770-n
Daniel Rutherford	wn31-11296539-n
Cherepovets	wn31-09026865-n
Elihu Thomson	wn31-11360637-n
Aby Warburg	wn31-11393545-n
Juan Perón	wn31-11250011-n
Oceania	wn31-08854867-n
Jean Sibelius	wn31-11319362-n
Thomas Wolfe	wn31-11414486-n
Malachi	wn31-11170963-n
Herman Melville	wn31-11192785-n
James J. Corbett	wn31-10930173-n
Maurice Chevalier	wn31-10915301-n
Carl Jung	wn31-11114601-n
Fumimaro Konoe	wn31-11128757-n
Sea of Marmara	wn31-09370105-n
Nauru	wn31-08860475-n
Manhattan	wn31-09143261-n
Kama	wn31-09549942-n
San Luis Potosí	wn31-08763240-n
León, Guanajuato	wn31-08761524-n
Amazon River	wn31-09218250-n
Vilfredo Pareto	wn31-11242447-n
Blackbeard	wn31-11353998-n
Erwin Schrödinger	wn31-11306466-n
Carl von Clausewitz	wn31-10919499-n
Suriname River	wn31-09474994-n
Ten Commandments	wn31-07184621-n
Jane Goodall	wn31-11027177-n
Congo River	wn31-09274984-n
Isaac Bashevis Singer	wn31-11322610-n
Tuvalu	wn31-08859366-n
Otto Sverdrup	wn31-11346003-n
Bouvet Island	wn31-08728976-n
Tripoli, Lebanon	wn31-08977766-n
Phoenix (constellation)	wn31-09413860-n
Eli Whitney	wn31-11405121-n
Garland, Texas	wn31-09167467-n
Norman Rockwell	wn31-11287558-n
BioShock Infinite	wn31-09163404-n
Carl Sandburg	wn31-11300203-n
Hamas	wn31-08039012-n
Justinian I	wn31-11115113-n
Höðr	wn31-09604303-n
Domesday Book	wn31-06515377-n
Leaning Tower of Pisa	wn31-03657856-n
Cerro del Nacimiento	wn31-09387323-n
Republican River	wn31-09430510-n
Düsseldorf	wn31-08790500-n
Antarctic Peninsula	wn31-09221633-n
James Watson	wn31-11396196-n
Ayr	wn31-08912554-n
Jude the Apostle	wn31-11114045-n
Bergen-Belsen concentration camp	wn31-02830650-n
Environmentalism	wn31-05979431-n
Nanchang	wn31-08745639-n
Mount Rushmore	wn31-09440546-n
Roger Bacon	wn31-10850327-n
Cannes	wn31-08954985-n
Collis Potter Huntington	wn31-11087174-n
Mount Vesuvius	wn31-09200780-n
Cyril Burt	wn31-10894508-n
William H. Seward	wn31-11314339-n
Albert Speer	wn31-11329953-n
Jean Anouilh	wn31-10838319-n
Antarctica	wn31-09220984-n
Laurence Olivier	wn31-11234310-n
Lake Volta	wn31-03640014-n
Spokane, Washington	wn31-09177371-n
Canyonlands National Park	wn31-08620864-n
Diogenes of Sinope	wn31-10956271-n
William Byrd	wn31-10896767-n
Walter Raleigh	wn31-11272617-n
Egypt	wn31-08917311-n
Giotto	wn31-11020782-n
Almaty	wn31-09042669-n
Gulf of Carpentaria	wn31-09320826-n
Spanish–American War	wn31-01311159-n
Northwest Passage	wn31-08698309-n
William Hyde Wollaston	wn31-11414949-n
Battle of Chancellorsville	wn31-01277402-n
Alfred Lunt	wn31-11165189-n
Cepheus (constellation)	wn31-09263178-n
Johannes Kepler	wn31-11121976-n
Combined DNA Index System	wn31-06521066-n
Assam	wn31-08922286-n
Islamic Jihad Movement in Palestine	wn31-08053870-n
Averroes	wn31-10849054-n
Ho Chi Minh	wn31-11073339-n
Hideyo Noguchi	wn31-11229009-n
George de Hevesy	wn31-11068384-n
Léonide Massine	wn31-11183849-n
Hera	wn31-09586312-n
Methuselah	wn31-11197360-n
Alexander Prokhorov	wn31-11266708-n
Pāṇini	wn31-11241768-n
Qom	wn31-08932476-n
Birmingham	wn31-08897840-n
Asheville, North Carolina	wn31-09150713-n
Bobby Orr	wn31-11237062-n
Jamestown, Virginia	wn31-09173203-n
Yazoo River	wn31-09504884-n
James Naismith	wn31-11219224-n
Alfred Hitchcock	wn31-11072294-n
Zimbabwe	wn31-09189894-n
Paramaribo	wn31-09053431-n
Erie Canal	wn31-09141484-n
Lech Wałęsa	wn31-11390985-n
Odoacer	wn31-11232216-n
Peter Mark Roget	wn31-11289075-n
Athena	wn31-09580516-n
William Tecumseh Sherman	wn31-11317973-n
Leonardo da Vinci	wn31-11148384-n
Tappan Zee Bridge	wn31-04400774-n
Aalborg	wn31-08780076-n
Helsinki	wn31-08797870-n
Abu Nidal Organization	wn31-08036995-n
Karl Landsteiner	wn31-11136107-n
Ilya Ehrenburg	wn31-10973465-n
Harry Lauder	wn31-11138876-n
Frederick Ashton	wn31-10845527-n
Benin	wn31-08777253-n
Pleistocene	wn31-15149816-n
Peoria, Illinois	wn31-09106613-n
Pleven	wn31-01294167-n
Araguaia River	wn31-09225688-n
Omsk	wn31-09032935-n
Psalms	wn31-06448807-n
Northern Cross (asterism)	wn31-09396244-n
Thor	wn31-09606681-n
Edward Victor Appleton	wn31-10840217-n
Witold Gombrowicz	wn31-11026124-n
Damascus	wn31-09056411-n
Spain	wn31-09045691-n
Steven Spielberg	wn31-11331168-n
Scottish Highlands	wn31-08911822-n
Great Wall of China	wn31-03022625-n
Frigg	wn31-09603695-n
Hippocrates	wn31-11071627-n
Maxim Gorky	wn31-11028866-n
Lashkar-e-Jhangvi	wn31-08047234-n
Firth of Clyde	wn31-09303479-n
Seneca people	wn31-09687763-n
Manfred Eigen	wn31-10974172-n
Battle of Ivry	wn31-01284306-n
Albert Sabin	wn31-11297269-n
East Sussex	wn31-08903536-n
David O. Selznick	wn31-11312197-n
Walt Disney	wn31-10957118-n
Marcel Marceau	wn31-11175804-n
Paul Kruger	wn31-11131567-n
Ray Bradbury	wn31-10880040-n
Edmund Burke	wn31-10892646-n
Lev Ivanov	wn31-11095342-n
Durrës	wn31-08723065-n
Libyan Desert	wn31-09193685-n
Edwin Arlington Robinson	wn31-11285581-n
Gaetano Donizetti	wn31-10959352-n
St. Petersburg, Florida	wn31-09097512-n
Stan Musial	wn31-11217934-n
Kahlil Gibran	wn31-11017993-n
